Week,FY24,FY25,FY26
1,,,
2,595146955.74,,
3,896384585.76,916453684.77,966836957.51071
4,1255661249.62,1388515070.95,1352008364.065836
5,,1814370518.34,1844864435.293306
6,2007916702.01,2187089504.72,2242474275.418299
7,2286815056.52,2506723435.68,2569416301.041523
8,2624209199.4,2876725322.17,3071510031.315692
9,2978040295.93,3436012092.86,3500054996.887593
10,3277722262.99,3758708867.9900002,3905335926.802744
11,,4154050756.93,4406112201.638755
12,3916949577.39,4616962668.03,4906868538.535208
13,4248766744.22,5127553637.49,5439052701.173581
14,4503061066.05,5364246252.757117,
15,4793024210.82,5764933758.132511,
16,5234084630.56,6228718891.799673,
17,5522795561.47,6610839649.43169,
18,6028259028.09,6805944696.023264,
19,6286765857.42,7365955175.081767,
20,6540418665.14,7666801544.969514,
21,6865995103.19,7956061082.460118,
22,7155157064.9,8385905651.3825445,
23,7394611203.38,8661862235.67405,
24,7661836161.06,9025695765.1154,
25,7977269102.04,9549661899.462517,
26,8173476676.93,9785867791.150808,
27,8492910671.57,9929639716.459538,
28,8790871965.64,10258423305.06974,
29,9162757260.4,10680329290.17859,
30,9427305374.31,11107381850.489288,
31,9825626746.38,11605484522.181719,
32,10176614116.48,11988458115.442999,
33,10484060444.71,12369067688.963732,
34,10786211905.67,,
35,11091262686.02,13148662231.614351,
36,11292536877.76,13507525266.322062,
37,11677152990.93,13837768008.467691,
38,11913700394.81,14215697839.881536,
39,12229408979.95,14616395904.453253,
40,12432588009.87,15071183390.225765,
41,12716275488.84,15512106647.471554,
42,13097796468.84,15888061927.64945,
43,13439513491.07,16279260354.925097,
44,13731510018.21,16688797095.477787,
45,14085877119.98,17061914316.587788,
46,14425174501.94,17448815901.992302,
47,14759524875.76,17859775285.86695,
48,15174205601.88,18209257071.331722,
49,15517603551.68,18517333670.980198,
50,15872978080.77,18903367895.74616,
51,16155544562.15,19374174347.04049,
52,16496875439.64,19928285356.295834,
